Request Year:,2024
Test:,201
Test Description:,
TestRegime Name:,LMB NMC622 100cyc C/2
TestRegime Suffix:,DEMO
TestRegime CellSize:,Pouch 3.5Ah
TestRegime Version:,1
Project Group Name:,LMB Research
Project Group Description:,Lithium Metal Battery cycling study
Project Group Memo:,
Project Group Storage Environment:,R.T./AMB
Project Group Test Environment:,R.T./AMB
Number Of Cells:,1
Parameter names:,
Parameter values:,
Variable names
LotID:,
Lot Description:,
Date Made:,3/01/2024 0:00
Origin:,Lab
Requestor:,Demo
Product ID:,LMB-NMC622-Pouch
Storage Temp:,R.T./AMB
Storage Delay:,0 days
Test Temp:,R.T./AMB
Start Time:,03/15/2024 10:00:00
End Time:,1/1/0001 0:00
Operator Instructions:,Synthetic demo data for LMBAgent
#RESULTS CHECK
ReqYear,Test,CellNr,Type,Value,Reason,
2024,201,1,1,3500,3,
#END RESULTS CHECK
Test,Cell,Rack,Shelf,Position,Cell ID,Step,Cycle,Total Time (Seconds),Load On Time (Seconds),Step Time (Seconds),Cycle Charge Time (Seconds),Cycle Discharge Time (Seconds),Real Time,Position Start Time,Voltage (mV),Current (mA),Charge Capacity (mAh),Discharge Capacity (mAh),Charge Capacity (mWh),Discharge Capacity (mWh),ReasonCode,50% DoD (mV),PeakPower 1 (W),PeakPower 2 (W),Open Circuit Voltage 1 (V),Open Circuit Voltage 2 (V),Internal Resistance 1 (mOhm),Internal Resistance 2 (mOhm),Ambient temperature (°C),Cell surface temperature (°C),DC Internal Resistance (mOhm),AC Internal Resistance (mOhm),Station Temperature (°C),
201,1,LAB01,001,1,,311,77,753857.653,2132,2132,3600,2132,03/24/2024 03:23:18,03/15/2024 10:00:00,3297.3120,-1750.0,1750.000,1036.472,6080.338,3852.341,2,0,0,0,0,0,62.5,0,25.05,28.06,,,,
201,1,LAB01,001,1,,311,77,753916.880,2191,2191,3600,2191,03/24/2024 03:24:17,03/15/2024 10:00:00,3274.5030,-1750.0,1750.000,1065.263,6080.338,3946.617,2,0,0,0,0,0,62.5,0,25.05,28.30,,,,
201,1,LAB01,001,1,,311,77,753976.107,2251,2251,3600,2251,03/24/2024 03:25:16,03/15/2024 10:00:00,3249.3319,-1750.0,1750.000,1094.054,6080.338,4040.168,2,0,0,0,0,0,62.5,0,24.95,28.22,,,,
201,1,LAB01,001,1,,311,77,754035.334,2310,2310,3600,2310,03/24/2024 03:26:16,03/15/2024 10:00:00,3224.5918,-1750.0,1750.000,1122.844,6080.338,4133.007,2,0,0,0,0,0,62.5,0,25.00,27.94,,,,
201,1,LAB01,001,1,,311,77,754094.561,2369,2369,3600,2369,03/24/2024 03:27:15,03/15/2024 10:00:00,3201.4242,-1750.0,1750.000,1151.635,6080.338,4225.178,2,0,0,0,0,0,62.5,0,25.02,28.13,,,,
201,1,LAB01,001,1,,311,77,754153.788,2428,2428,3600,2428,03/24/2024 03:28:14,03/15/2024 10:00:00,3174.6227,-1750.0,1750.000,1180.426,6080.338,4316.579,30,0,0,0,0,0,62.5,0,25.04,27.91,,,,
201,1,LAB01,001,1,,311,77,754213.014,2488,2488,3600,2488,03/24/2024 03:29:13,03/15/2024 10:00:00,3149.7528,-1750.0,1750.000,1209.217,6080.338,4407.263,2,0,0,0,0,0,62.5,0,24.89,27.44,,,,
201,1,LAB01,001,1,,311,77,754272.241,2547,2547,3600,2547,03/24/2024 03:30:13,03/15/2024 10:00:00,3125.6597,-1750.0,1750.000,1238.008,6080.338,4497.253,2,0,0,0,0,0,62.5,0,25.03,27.87,,,,
201,1,LAB01,001,1,,311,77,754331.468,2606,2606,3600,2606,03/24/2024 03:31:12,03/15/2024 10:00:00,3101.8732,-1750.0,1750.000,1266.799,6080.338,4586.559,2,0,0,0,0,0,62.5,0,25.07,27.71,,,,
201,1,LAB01,001,1,,311,77,754390.695,2665,2665,3600,2665,03/24/2024 03:32:11,03/15/2024 10:00:00,3075.5404,-1750.0,1750.000,1295.590,6080.338,4675.107,2,0,0,0,0,0,62.5,0,24.93,27.36,,,,
201,1,LAB01,001,1,,311,77,754449.922,2724,2724,3600,2724,03/24/2024 03:33:10,03/15/2024 10:00:00,3049.6958,-1750.0,1750.000,1324.381,6080.338,4762.910,2,0,0,0,0,0,62.5,0,24.90,27.32,,,,
201,1,LAB01,001,1,,311,77,754509.149,2784,2784,3600,2784,03/24/2024 03:34:09,03/15/2024 10:00:00,3025.1242,-1750.0,1750.000,1353.171,6080.338,4850.006,2,0,0,0,0,0,62.5,0,25.00,27.54,,,,
201,1,LAB01,001,1,,311,77,754568.376,2843,2843,3600,2843,03/24/2024 03:35:09,03/15/2024 10:00:00,3002.4921,-1750.0,1750.000,1381.962,6080.338,4936.450,2,0,0,0,0,0,62.5,0,24.98,27.21,,,,
201,1,LAB01,001,1,,311,77,754627.603,2902,2902,3600,2902,03/24/2024 03:36:08,03/15/2024 10:00:00,2977.3074,-1750.0,1750.000,1410.753,6080.338,5022.170,2,0,0,0,0,0,62.5,0,24.95,27.00,,,,
201,1,LAB01,001,1,,311,77,754686.830,2961,2961,3600,2961,03/24/2024 03:37:07,03/15/2024 10:00:00,2952.0570,-1750.0,1750.000,1439.544,6080.338,5107.162,2,0,0,0,0,0,62.5,0,25.01,27.13,,,,
201,1,LAB01,001,1,,311,77,754746.057,3021,3021,3600,3021,03/24/2024 03:38:06,03/15/2024 10:00:00,2925.8890,-1750.0,1750.000,1468.335,6080.338,5191.401,30,0,0,0,0,0,62.5,0,24.96,26.88,,,,
201,1,LAB01,001,1,,311,77,754805.284,3080,3080,3600,3080,03/24/2024 03:39:06,03/15/2024 10:00:00,2902.0082,-1750.0,1750.000,1497.126,6080.338,5274.952,2,0,0,0,0,0,62.5,0,25.05,26.69,,,,
201,1,LAB01,001,1,,311,77,754864.511,3139,3139,3600,3139,03/24/2024 03:40:05,03/15/2024 10:00:00,2876.9263,-1750.0,1750.000,1525.917,6080.338,5357.782,2,0,0,0,0,0,62.5,0,25.00,26.74,,,,
201,1,LAB01,001,1,,311,77,754923.738,3198,3198,3600,3198,03/24/2024 03:41:04,03/15/2024 10:00:00,2851.4165,-1750.0,1750.000,1554.708,6080.338,5439.876,2,0,0,0,0,0,62.5,0,24.90,26.70,,,,
201,1,LAB01,001,1,,311,77,754982.965,3257,3257,3600,3257,03/24/2024 03:42:03,03/15/2024 10:00:00,2826.9313,-1750.0,1750.000,1583.499,6080.338,5521.266,2,0,0,0,0,0,62.5,0,25.11,26.78,,,,
201,1,LAB01,001,1,,311,77,755042.192,3317,3317,3600,3317,03/24/2024 03:43:02,03/15/2024 10:00:00,2802.3674,-1750.0,1750.000,1612.289,6080.338,5601.949,2,0,0,0,0,0,62.5,0,25.06,26.38,,,,
201,1,LAB01,001,1,,311,77,755101.419,3376,3376,3600,3376,03/24/2024 03:44:02,03/15/2024 10:00:00,2775.8763,-1750.0,1750.000,1641.080,6080.338,5681.869,2,0,0,0,0,0,62.5,0,25.09,25.88,,,,
201,1,LAB01,001,1,,311,77,755160.646,3435,3435,3600,3435,03/24/2024 03:45:01,03/15/2024 10:00:00,2751.2028,-1750.0,1750.000,1669.871,6080.338,5761.078,2,0,0,0,0,0,62.5,0,25.08,26.20,,,,
201,1,LAB01,001,1,,311,77,755219.873,3494,3494,3600,3494,03/24/2024 03:46:00,03/15/2024 10:00:00,2726.6524,-1750.0,1750.000,1698.662,6080.338,5839.581,2,0,0,0,0,0,62.5,0,25.06,25.92,,,,
201,1,LAB01,001,1,,311,77,755279.100,3554,3554,3600,3554,03/24/2024 03:46:59,03/15/2024 10:00:00,2700.0000,-1750.0,1750.000,1727.453,6080.338,5917.316,2,0,0,0,0,0,62.5,0,24.96,25.92,,,,
201,1,LAB01,001,1,,312,78,755299.100,0,0,0,0,03/24/2024 03:47:59,03/15/2024 10:00:00,2904.3150,0.0,0.000,0.000,0.000,0.000,30,0,0,0,0,0,62.8,0,24.97,24.97,,,,
201,1,LAB01,001,1,,312,78,755319.100,0,20,0,0,03/24/2024 03:48:19,03/15/2024 10:00:00,2905.1966,0.0,0.000,0.000,0.000,0.000,2,0,0,0,0,0,62.8,0,24.91,24.91,,,,
201,1,LAB01,001,1,,312,78,755339.100,0,40,0,0,03/24/2024 03:48:39,03/15/2024 10:00:00,2901.2448,0.0,0.000,0.000,0.000,0.000,2,0,0,0,0,0,62.8,0,24.94,24.94,,,,
201,1,LAB01,001,1,,312,78,755359.100,0,60,0,0,03/24/2024 03:48:59,03/15/2024 10:00:00,2903.7265,0.0,0.000,0.000,0.000,0.000,30,0,0,0,0,0,62.8,0,24.93,24.93,,,,
201,1,LAB01,001,1,,312,78,755379.100,0,80,0,0,03/24/2024 03:49:19,03/15/2024 10:00:00,2905.2104,0.0,0.000,0.000,0.000,0.000,2,0,0,0,0,0,62.8,0,24.87,24.87,,,,
201,1,LAB01,001,1,,313,78,755439.100,60,60,60,0,03/24/2024 03:49:39,03/15/2024 10:00:00,2771.9219,1750.0,29.167,0.000,80.848,0.000,30,0,0,0,0,0,62.8,0,24.96,25.73,,,,
201,1,LAB01,001,1,,313,78,755499.100,120,120,120,0,03/24/2024 03:50:39,03/15/2024 10:00:00,2794.7326,1750.0,58.333,0.000,162.361,0.000,2,0,0,0,0,0,62.8,0,25.06,25.99,,,,
201,1,LAB01,001,1,,313,78,755559.100,180,180,180,0,03/24/2024 03:51:39,03/15/2024 10:00:00,2818.8699,1750.0,87.500,0.000,244.578,0.000,2,0,0,0,0,0,62.8,0,25.09,26.14,,,,
201,1,LAB01,001,1,,313,78,755619.100,240,240,240,0,03/24/2024 03:52:39,03/15/2024 10:00:00,2842.9050,1750.0,116.667,0.000,327.496,0.000,2,0,0,0,0,0,62.8,0,24.96,26.16,,,,
201,1,LAB01,001,1,,313,78,755679.100,300,300,300,0,03/24/2024 03:53:39,03/15/2024 10:00:00,2865.4418,1750.0,145.833,0.000,411.071,0.000,2,0,0,0,0,0,62.8,0,25.13,26.11,,,,
201,1,LAB01,001,1,,313,78,755739.100,360,360,360,0,03/24/2024 03:54:39,03/15/2024 10:00:00,2886.9441,1750.0,175.000,0.000,495.274,0.000,2,0,0,0,0,0,62.8,0,24.94,26.45,,,,
201,1,LAB01,001,1,,313,78,755799.100,420,420,420,0,03/24/2024 03:55:39,03/15/2024 10:00:00,2909.4746,1750.0,204.167,0.000,580.133,0.000,2,0,0,0,0,0,62.8,0,24.92,26.62,,,,
201,1,LAB01,001,1,,313,78,755859.100,480,480,480,0,03/24/2024 03:56:39,03/15/2024 10:00:00,2934.8542,1750.0,233.333,0.000,665.733,0.000,2,0,0,0,0,0,62.8,0,24.98,26.59,,,,
201,1,LAB01,001,1,,313,78,755919.100,540,540,540,0,03/24/2024 03:57:39,03/15/2024 10:00:00,2958.0244,1750.0,262.500,0.000,752.009,0.000,2,0,0,0,0,0,62.8,0,24.94,26.70,,,,
201,1,LAB01,001,1,,313,78,755979.100,600,600,600,0,03/24/2024 03:58:39,03/15/2024 10:00:00,2981.9802,1750.0,291.667,0.000,838.984,0.000,2,0,0,0,0,0,62.8,0,25.13,27.04,,,,
201,1,LAB01,001,1,,313,78,756039.100,660,660,660,0,03/24/2024 03:59:39,03/15/2024 10:00:00,3005.2052,1750.0,320.833,0.000,926.635,0.000,30,0,0,0,0,0,62.8,0,25.03,27.07,,,,
201,1,LAB01,001,1,,313,78,756099.100,720,720,720,0,03/24/2024 04:00:39,03/15/2024 10:00:00,3028.9619,1750.0,350.000,0.000,1014.980,0.000,2,0,0,0,0,0,62.8,0,24.86,27.03,,,,
201,1,LAB01,001,1,,313,78,756159.100,780,780,780,0,03/24/2024 04:01:39,03/15/2024 10:00:00,3051.0847,1750.0,379.167,0.000,1103.970,0.000,2,0,0,0,0,0,62.8,0,25.29,27.72,,,,
201,1,LAB01,001,1,,313,78,756219.100,840,840,840,0,03/24/2024 04:02:39,03/15/2024 10:00:00,3075.1521,1750.0,408.333,0.000,1193.662,0.000,2,0,0,0,0,0,62.8,0,25.20,27.88,,,,
201,1,LAB01,001,1,,313,78,756279.100,900,900,900,0,03/24/2024 04:03:39,03/15/2024 10:00:00,3099.1145,1750.0,437.500,0.000,1284.053,0.000,2,0,0,0,0,0,62.8,0,24.88,27.36,,,,
201,1,LAB01,001,1,,313,78,756339.100,960,960,960,0,03/24/2024 04:04:39,03/15/2024 10:00:00,3121.5917,1750.0,466.667,0.000,1375.099,0.000,2,0,0,0,0,0,62.8,0,25.05,27.44,,,,
201,1,LAB01,001,1,,313,78,756399.100,1020,1020,1020,0,03/24/2024 04:05:39,03/15/2024 10:00:00,3145.7793,1750.0,495.833,0.000,1466.851,0.000,2,0,0,0,0,0,62.8,0,24.96,27.67,,,,
201,1,LAB01,001,1,,313,78,756459.100,1080,1080,1080,0,03/24/2024 04:06:39,03/15/2024 10:00:00,3168.4881,1750.0,525.000,0.000,1559.265,0.000,2,0,0,0,0,0,62.8,0,24.80,27.87,,,,
201,1,LAB01,001,1,,313,78,756519.100,1140,1140,1140,0,03/24/2024 04:07:39,03/15/2024 10:00:00,3192.5974,1750.0,554.167,0.000,1652.383,0.000,2,0,0,0,0,0,62.8,0,25.04,27.63,,,,
201,1,LAB01,001,1,,313,78,756579.100,1200,1200,1200,0,03/24/2024 04:08:39,03/15/2024 10:00:00,3216.3150,1750.0,583.333,0.000,1746.192,0.000,2,0,0,0,0,0,62.8,0,24.86,28.18,,,,
201,1,LAB01,001,1,,313,78,756639.100,1260,1260,1260,0,03/24/2024 04:09:39,03/15/2024 10:00:00,3239.0054,1750.0,612.500,0.000,1840.663,0.000,30,0,0,0,0,0,62.8,0,24.84,27.65,,,,
201,1,LAB01,001,1,,313,78,756699.100,1320,1320,1320,0,03/24/2024 04:10:39,03/15/2024 10:00:00,3264.9038,1750.0,641.667,0.000,1935.889,0.000,2,0,0,0,0,0,62.8,0,24.96,27.93,,,,
201,1,LAB01,001,1,,313,78,756759.100,1380,1380,1380,0,03/24/2024 04:11:39,03/15/2024 10:00:00,3287.9858,1750.0,670.833,0.000,2031.789,0.000,2,0,0,0,0,0,62.8,0,25.10,28.30,,,,
201,1,LAB01,001,1,,313,78,756819.100,1440,1440,1440,0,03/24/2024 04:12:39,03/15/2024 10:00:00,3312.9575,1750.0,700.000,0.000,2128.417,0.000,2,0,0,0,0,0,62.8,0,25.04,27.86,,,,
201,1,LAB01,001,1,,313,78,756879.100,1500,1500,1500,0,03/24/2024 04:13:39,03/15/2024 10:00:00,3335.3516,1750.0,729.167,0.000,2225.698,0.000,2,0,0,0,0,0,62.8,0,24.97,28.08,,,,
201,1,LAB01,001,1,,313,78,756939.100,1560,1560,1560,0,03/24/2024 04:14:39,03/15/2024 10:00:00,3359.2130,1750.0,758.333,0.000,2323.675,0.000,2,0,0,0,0,0,62.8,0,24.87,28.11,,,,
201,1,LAB01,001,1,,313,78,756999.100,1620,1620,1620,0,03/24/2024 04:15:39,03/15/2024 10:00:00,3384.9986,1750.0,787.500,0.000,2422.404,0.000,2,0,0,0,0,0,62.8,0,25.13,28.08,,,,
201,1,LAB01,001,1,,313,78,757059.100,1680,1680,1680,0,03/24/2024 04:16:39,03/15/2024 10:00:00,3408.0348,1750.0,816.667,0.000,2521.805,0.000,2,0,0,0,0,0,62.8,0,25.06,28.13,,,,
201,1,LAB01,001,1,,313,78,757119.100,1740,1740,1740,0,03/24/2024 04:17:39,03/15/2024 10:00:00,3433.2455,1750.0,845.833,0.000,2621.941,0.000,2,0,0,0,0,0,62.8,0,24.88,28.15,,,,
201,1,LAB01,001,1,,313,78,757179.100,1800,1800,1800,0,03/24/2024 04:18:39,03/15/2024 10:00:00,3456.0388,1750.0,875.000,0.000,2722.743,0.000,2,0,0,0,0,0,62.8,0,24.95,28.15,,,,
201,1,LAB01,001,1,,313,78,757239.100,1860,1860,1860,0,03/24/2024 04:19:39,03/15/2024 10:00:00,3480.5041,1750.0,904.167,0.000,2824.257,0.000,30,0,0,0,0,0,62.8,0,25.06,28.42,,,,
201,1,LAB01,001,1,,313,78,757299.100,1920,1920,1920,0,03/24/2024 04:20:39,03/15/2024 10:00:00,3503.9741,1750.0,933.333,0.000,2926.457,0.000,2,0,0,0,0,0,62.8,0,24.88,27.94,,,,
201,1,LAB01,001,1,,313,78,757359.100,1980,1980,1980,0,03/24/2024 04:21:39,03/15/2024 10:00:00,3528.3984,1750.0,962.500,0.000,3029.368,0.000,2,0,0,0,0,0,62.8,0,24.90,27.68,,,,
201,1,LAB01,001,1,,313,78,757419.100,2040,2040,2040,0,03/24/2024 04:22:39,03/15/2024 10:00:00,3553.7449,1750.0,991.667,0.000,3133.019,0.000,2,0,0,0,0,0,62.8,0,24.82,28.23,,,,
201,1,LAB01,001,1,,313,78,757479.100,2100,2100,2100,0,03/24/2024 04:23:39,03/15/2024 10:00:00,3576.6372,1750.0,1020.833,0.000,3237.338,0.000,2,0,0,0,0,0,62.8,0,24.91,27.98,,,,
201,1,LAB01,001,1,,313,78,757539.100,2160,2160,2160,0,03/24/2024 04:24:39,03/15/2024 10:00:00,3601.0499,1750.0,1050.000,0.000,3342.368,0.000,2,0,0,0,0,0,62.8,0,25.07,28.38,,,,
201,1,LAB01,001,1,,313,78,757599.100,2220,2220,2220,0,03/24/2024 04:25:39,03/15/2024 10:00:00,3626.1661,1750.0,1079.167,0.000,3448.131,0.000,2,0,0,0,0,0,62.8,0,24.98,28.16,,,,
201,1,LAB01,001,1,,313,78,757659.100,2280,2280,2280,0,03/24/2024 04:26:39,03/15/2024 10:00:00,3650.9646,1750.0,1108.333,0.000,3554.618,0.000,2,0,0,0,0,0,62.8,0,25.02,28.14,,,,
201,1,LAB01,001,1,,313,78,757719.100,2340,2340,2340,0,03/24/2024 04:27:39,03/15/2024 10:00:00,3676.1485,1750.0,1137.500,0.000,3661.839,0.000,2,0,0,0,0,0,62.8,0,24.90,27.91,,,,
201,1,LAB01,001,1,,313,78,757779.100,2400,2400,2400,0,03/24/2024 04:28:39,03/15/2024 10:00:00,3699.8380,1750.0,1166.667,0.000,3769.751,0.000,2,0,0,0,0,0,62.8,0,25.05,27.94,,,,
201,1,LAB01,001,1,,313,78,757839.100,2460,2460,2460,0,03/24/2024 04:29:39,03/15/2024 10:00:00,3723.5554,1750.0,1195.833,0.000,3878.355,0.000,30,0,0,0,0,0,62.8,0,25.08,27.99,,,,
201,1,LAB01,001,1,,313,78,757899.100,2520,2520,2520,0,03/24/2024 04:30:39,03/15/2024 10:00:00,3749.3860,1750.0,1225.000,0.000,3987.712,0.000,2,0,0,0,0,0,62.8,0,24.90,27.91,,,,
201,1,LAB01,001,1,,313,78,757959.100,2580,2580,2580,0,03/24/2024 04:31:39,03/15/2024 10:00:00,3774.1066,1750.0,1254.167,0.000,4097.790,0.000,2,0,0,0,0,0,62.8,0,25.12,27.96,,,,
201,1,LAB01,001,1,,313,78,758019.100,2640,2640,2640,0,03/24/2024 04:32:39,03/15/2024 10:00:00,3799.0904,1750.0,1283.333,0.000,4208.597,0.000,2,0,0,0,0,0,62.8,0,24.96,27.68,,,,
201,1,LAB01,001,1,,313,78,758079.100,2700,2700,2700,0,03/24/2024 04:33:39,03/15/2024 10:00:00,3822.3967,1750.0,1312.500,0.000,4320.083,0.000,2,0,0,0,0,0,62.8,0,25.01,27.74,,,,
201,1,LAB01,001,1,,313,78,758139.100,2760,2760,2760,0,03/24/2024 04:34:39,03/15/2024 10:00:00,3847.8714,1750.0,1341.667,0.000,4432.313,0.000,2,0,0,0,0,0,62.8,0,25.07,27.57,,,,
201,1,LAB01,001,1,,313,78,758199.100,2820,2820,2820,0,03/24/2024 04:35:39,03/15/2024 10:00:00,3872.8884,1750.0,1370.833,0.000,4545.272,0.000,2,0,0,0,0,0,62.8,0,24.89,27.38,,,,
201,1,LAB01,001,1,,313,78,758259.100,2880,2880,2880,0,03/24/2024 04:36:39,03/15/2024 10:00:00,3898.4235,1750.0,1400.000,0.000,4658.976,0.000,2,0,0,0,0,0,62.8,0,24.85,27.28,,,,
201,1,LAB01,001,1,,313,78,758319.100,2940,2940,2940,0,03/24/2024 04:37:39,03/15/2024 10:00:00,3921.3187,1750.0,1429.167,0.000,4773.348,0.000,2,0,0,0,0,0,62.8,0,25.18,27.41,,,,
201,1,LAB01,001,1,,313,78,758379.100,3000,3000,3000,0,03/24/2024 04:38:39,03/15/2024 10:00:00,3947.5416,1750.0,1458.333,0.000,4888.484,0.000,2,0,0,0,0,0,62.8,0,24.90,26.86,,,,
201,1,LAB01,001,1,,313,78,758439.100,3060,3060,3060,0,03/24/2024 04:39:39,03/15/2024 10:00:00,3973.5984,1750.0,1487.500,0.000,5004.381,0.000,30,0,0,0,0,0,62.8,0,24.86,26.71,,,,
201,1,LAB01,001,1,,313,78,758499.100,3120,3120,3120,0,03/24/2024 04:40:39,03/15/2024 10:00:00,3996.7983,1750.0,1516.667,0.000,5120.954,0.000,2,0,0,0,0,0,62.8,0,24.83,26.52,,,,
201,1,LAB01,001,1,,313,78,758559.100,3180,3180,3180,0,03/24/2024 04:41:39,03/15/2024 10:00:00,4024.0087,1750.0,1545.833,0.000,5238.321,0.000,2,0,0,0,0,0,62.8,0,24.94,26.64,,,,
201,1,LAB01,001,1,,313,78,758619.100,3240,3240,3240,0,03/24/2024 04:42:39,03/15/2024 10:00:00,4048.5317,1750.0,1575.000,0.000,5356.403,0.000,2,0,0,0,0,0,62.8,0,25.00,26.69,,,,
201,1,LAB01,001,1,,313,78,758679.100,3300,3300,3300,0,03/24/2024 04:43:39,03/15/2024 10:00:00,4074.2739,1750.0,1604.167,0.000,5475.236,0.000,2,0,0,0,0,0,62.8,0,25.14,26.60,,,,
201,1,LAB01,001,1,,313,78,758739.100,3360,3360,3360,0,03/24/2024 04:44:39,03/15/2024 10:00:00,4097.1201,1750.0,1633.333,0.000,5594.736,0.000,2,0,0,0,0,0,62.8,0,25.06,26.17,,,,
201,1,LAB01,001,1,,313,78,758799.100,3420,3420,3420,0,03/24/2024 04:45:39,03/15/2024 10:00:00,4122.5008,1750.0,1662.500,0.000,5714.975,0.000,2,0,0,0,0,0,62.8,0,25.08,26.52,,,,
201,1,LAB01,001,1,,313,78,758859.100,3480,3480,3480,0,03/24/2024 04:46:39,03/15/2024 10:00:00,4148.7228,1750.0,1691.667,0.000,5835.980,0.000,2,0,0,0,0,0,62.8,0,24.88,25.88,,,,
201,1,LAB01,001,1,,313,78,758919.100,3540,3540,3540,0,03/24/2024 04:47:39,03/15/2024 10:00:00,4175.3913,1750.0,1720.833,0.000,5957.762,0.000,2,0,0,0,0,0,62.8,0,24.97,25.92,,,,
201,1,LAB01,001,1,,313,78,758979.100,3600,3600,3600,0,03/24/2024 04:48:39,03/15/2024 10:00:00,4199.4057,1750.0,1750.000,0.000,6080.245,0.000,2,0,0,0,0,0,62.8,0,24.95,25.87,,,,
201,1,LAB01,001,1,,314,78,759009.100,0,0,3600,0,03/24/2024 04:49:39,03/15/2024 10:00:00,4191.0192,0.0,1750.000,0.000,6080.245,0.000,30,0,0,0,0,0,62.8,0,25.03,25.03,,,,
201,1,LAB01,001,1,,314,78,759039.100,0,30,3600,0,03/24/2024 04:50:09,03/15/2024 10:00:00,4193.6029,0.0,1750.000,0.000,6080.245,0.000,2,0,0,0,0,0,62.8,0,24.94,24.94,,,,
201,1,LAB01,001,1,,314,78,759069.100,0,60,3600,0,03/24/2024 04:50:39,03/15/2024 10:00:00,4188.1713,0.0,1750.000,0.000,6080.245,0.000,2,0,0,0,0,0,62.8,0,25.21,25.21,,,,
201,1,LAB01,001,1,,314,78,759099.100,0,90,3600,0,03/24/2024 04:51:09,03/15/2024 10:00:00,4189.1481,0.0,1750.000,0.000,6080.245,0.000,30,0,0,0,0,0,62.8,0,25.07,25.07,,,,
201,1,LAB01,001,1,,314,78,759129.100,0,120,3600,0,03/24/2024 04:51:39,03/15/2024 10:00:00,4191.3548,0.0,1750.000,0.000,6080.245,0.000,2,0,0,0,0,0,62.8,0,25.15,25.15,,,,
201,1,LAB01,001,1,,315,78,759188.166,59,59,3600,59,03/24/2024 04:52:09,03/15/2024 10:00:00,4126.2775,-1750.0,1750.000,28.713,6080.245,118.477,30,0,0,0,0,0,62.8,0,25.04,25.78,,,,
201,1,LAB01,001,1,,315,78,759247.233,118,118,3600,118,03/24/2024 04:53:08,03/15/2024 10:00:00,4104.0098,-1750.0,1750.000,57.426,6080.245,236.316,2,0,0,0,0,0,62.8,0,24.85,25.95,,,,
201,1,LAB01,001,1,,315,78,759306.299,177,177,3600,177,03/24/2024 04:54:07,03/15/2024 10:00:00,4081.8151,-1750.0,1750.000,86.139,6080.245,353.516,2,0,0,0,0,0,62.8,0,25.04,26.07,,,,
201,1,LAB01,001,1,,315,78,759365.366,236,236,3600,236,03/24/2024 04:55:06,03/15/2024 10:00:00,4057.7586,-1750.0,1750.000,114.852,6080.245,470.026,2,0,0,0,0,0,62.8,0,24.90,26.10,,,,
201,1,LAB01,001,1,,315,78,759424.433,295,295,3600,295,03/24/2024 04:56:05,03/15/2024 10:00:00,4033.6386,-1750.0,1750.000,143.565,6080.245,585.844,2,0,0,0,0,0,62.8,0,24.84,26.25,,,,
201,1,LAB01,001,1,,315,78,759483.499,354,354,3600,354,03/24/2024 04:57:04,03/15/2024 10:00:00,4011.1506,-1750.0,1750.000,172.277,6080.245,701.016,2,0,0,0,0,0,62.8,0,25.11,26.51,,,,
201,1,LAB01,001,1,,315,78,759542.566,413,413,3600,413,03/24/2024 04:58:03,03/15/2024 10:00:00,3990.2177,-1750.0,1750.000,200.990,6080.245,815.587,2,0,0,0,0,0,62.8,0,25.10,26.52,,,,
201,1,LAB01,001,1,,315,78,759601.632,473,473,3600,473,03/24/2024 04:59:02,03/15/2024 10:00:00,3964.1615,-1750.0,1750.000,229.703,6080.245,929.409,2,0,0,0,0,0,62.8,0,24.87,26.38,,,,
201,1,LAB01,001,1,,315,78,759660.699,532,532,3600,532,03/24/2024 05:00:01,03/15/2024 10:00:00,3942.4617,-1750.0,1750.000,258.416,6080.245,1042.609,2,0,0,0,0,0,62.8,0,25.07,26.98,,,,
201,1,LAB01,001,1,,315,78,759719.765,591,591,3600,591,03/24/2024 05:01:00,03/15/2024 10:00:00,3919.0773,-1750.0,1750.000,287.129,6080.245,1155.137,2,0,0,0,0,0,62.8,0,25.10,26.80,,,,
201,1,LAB01,001,1,,315,78,759778.832,650,650,3600,650,03/24/2024 05:01:59,03/15/2024 10:00:00,3895.2898,-1750.0,1750.000,315.842,6080.245,1266.982,30,0,0,0,0,0,62.8,0,25.03,27.10,,,,
201,1,LAB01,001,1,,315,78,759837.899,709,709,3600,709,03/24/2024 05:02:58,03/15/2024 10:00:00,3870.6132,-1750.0,1750.000,344.555,6080.245,1378.119,2,0,0,0,0,0,62.8,0,25.18,27.44,,,,
201,1,LAB01,001,1,,315,78,759896.965,768,768,3600,768,03/24/2024 05:03:57,03/15/2024 10:00:00,3848.2538,-1750.0,1750.000,373.268,6080.245,1488.613,2,0,0,0,0,0,62.8,0,24.99,27.18,,,,
201,1,LAB01,001,1,,315,78,759956.032,827,827,3600,827,03/24/2024 05:04:56,03/15/2024 10:00:00,3825.2506,-1750.0,1750.000,401.981,6080.245,1598.447,2,0,0,0,0,0,62.8,0,25.05,27.45,,,,
201,1,LAB01,001,1,,315,78,760015.098,886,886,3600,886,03/24/2024 05:05:56,03/15/2024 10:00:00,3801.8802,-1750.0,1750.000,430.694,6080.245,1707.610,2,0,0,0,0,0,62.8,0,25.05,27.39,,,,
201,1,LAB01,001,1,,315,78,760074.165,945,945,3600,945,03/24/2024 05:06:55,03/15/2024 10:00:00,3778.8401,-1750.0,1750.000,459.407,6080.245,1816.112,2,0,0,0,0,0,62.8,0,25.03,27.59,,,,
